Health_Center_Name,City,State,County,Year,Abr,Total_Patients,Children,Adults_under_65,Older_Adults,Racial_Ethnic_Minority,Hispanic_Latino_Ethnicity,African_American,Asian,American_Indian_Alaskan_Native,Native_Hawaiian_Other_Pacific_Islander,More_than_one_race,Best_Served_in_another_language,Patients_at_or_below_200Pct_Poverty,Patients_at_or_below_100Pct_Poverty,Uninsured,Medicaid_CHIP,Medicare,Other_Third_Party,Medical_Services,Dental_Services,Mental_Health_Services,Substance_Abuse_Services,Vision_Services,Enabling_Services,Pct_Pts_with_Hypertension,Pct_Pts_with_Diabetes,Pct_Pts_with_Asthma,Pct_Pts_with_HIV,Prenatal_Patients,Prenatal_Patients_who_delivered,Acces_to_Prenatal_Care,Pct_Births_with_Low_Birth_Weight,Cervical_Cancer_Screening,Adolescent_Weight_Screening_and_Follow Up,Adult_Weight_Screening_and_Follow Up,Colorectal_Cancer_Screening,Childhood_Immunization,Appropriate_Asthma_Treatment_Plan,Cholesterol_Treatment_Lipid_Therapy_CAD,Heart_Attack_Stroke_Treatment_Aspirin_IVD,Blood_Pressure_Control,Total_Cost_per_Patient
PORTER STARKE SERVICES INC,VALPARAISO,Indiana,Porter,2017,IN,2500,0.5688,0.3944,0.0368,0.9192825,0.04335608,0.9096665,0.000422119,0.002532714,0,0.002110595,0.0128,0.9480676,0.7741546,0.076,0.6952,0.0516,0.1772,0.9244,0.132,0.1444,0,0,0,0.2374645,0.1269014,0.09260061,0.002163565,22,11,0.7727273,0.1818182,0.4047619,0.4571429,0.7285714,0.1967871,0,0.6428571,0.3333333,0.6129032,0.4615385,1097.856
PURDUE UNIVERSITY,W LAFAYETTE,Indiana,Tippecanoe,2017,IN,6687,0.3641394,0.5601914,0.07566921,0.2321214,0.2147561,0.006307618,0.003558143,0.000808669,0,0.01213003,0.1612083,0.9397662,0.6682649,0.2174368,0.3606999,0.07432331,0.34754,0.9967101,0,0.04037685,0,0,0.001794527,0.2402773,0.1273137,0.048012,0.000300075,194,99,0.742268,0.05050505,0.5467981,0.9195602,0.7438642,0.3856023,0.5205479,0.9034091,0.7894737,0.8292683,0.6248756,738.3958
RAPHAEL HEALTH CENTER,INDIANAPOLIS,Indiana,Marion,2017,IN,5907,0.3660064,0.5708482,0.06314542,0.8315162,0.05758807,0.6421142,0.1215686,0.000852515,0,0.01977835,0.1625191,0.9415951,0.525225,0.1466057,0.5974268,0.06382258,0.1921449,0.8947012,0.2105976,0.1445742,0,0,0.1105468,0.2928003,0.1152514,0.07909177,0.002649007,240,94,0.7208334,0.106383,0.5197874,0.6185984,0.6425907,0.3577681,0.3571429,0.953125,0.8139535,0.9107143,0.486653,912.7256
"RIGGS COMMUNITY HEALTH CENTER, INC.",LAFAYETTE,Indiana,Tippecanoe,2017,IN,16629,0.415058,0.5567983,0.02814361,0.3944458,0.1811704,0.1966721,0.01670758,0.005114566,0,0.02659575,0.1355463,0.9719678,0.7547711,0.2288171,0.6350953,0.0490709,0.08701666,0.9577846,0.09567623,0.05730952,0.001142582,0,0,0.2104715,0.1339863,0.04187857,0.000690651,1442,684,0.7122053,0.07566766,0.5387359,0.4670832,0.3704417,0.2800839,0.2924901,0.7960784,0.8135593,0.8626609,0.7342872,585.3951
"SHALOM HEALTH CARE CENTER, INC",INDIANAPOLIS,Indiana,Marion,2017,IN,10503,0.7229363,0.2644007,0.01266305,0.8129461,0.2641491,0.5517458,0.01153402,0.000838838,0.000419419,0.02579428,0.2072741,0.9944105,0.8705969,0.3809388,0.5393697,0.01171094,0.06798058,0.9935257,0,0.02027992,0,0,0.04427306,0.2424506,0.1630298,0.07628174,0.001820795,68,31,0.7647059,0.09677419,0.4721689,0.6253273,0.5331113,0.2401525,0.2179487,0.819398,0.8958333,0.630137,0.6485714,613.6273
"SOUTHLAKE COMMUNITY MENTAL HEALTH CENTER, INC.",MERRILLVILLE,Indiana,Lake,2017,IN,4790,0.2118998,0.748643,0.0394572,0.6553587,0.3377863,0.3096124,0.000875849,0.001532735,0.000437924,0.01291876,0.1014614,0.963543,0.8123235,0.3695198,0.4419624,0.05323591,0.1352818,0.9265136,0.2400835,0.2440501,0,0,0,0.2335981,0.1252931,0.05858495,0.005182514,30,0,0.7666667,0,0.1014696,0.00130039,0.2448662,0.05371429,0.04,0.7833334,0.7906977,0.6346154,0.4594595,1373.162
THE HEALTH AND HOSPITAL CORPORATION OF MARION COUNTY,INDIANAPOLIS,Indiana,Marion,2017,IN,70170,0.3564344,0.5474989,0.0960667,0.7826514,0.2818153,0.6188647,0.01072213,0.002646229,0.009467618,0.001803356,0.2427106,0.9812472,0.8587259,0.1663104,0.5699302,0.1350862,0.1286732,0.934787,0.04985036,0.07584438,0,0.03844948,0.02603677,0.342146,0.2169283,0.08051042,0.003171022,1214,1032,0.5131796,0.06517509,0.5178372,0.5084293,0.5155397,0.5554799,0.1817123,0.818509,0.8915746,0.8151027,0.5311819,699.6046
"VALLEY PROFESSIONALS COMMUNITY HEALTH CENTER, INC.",CLINTON,Indiana,Vermillion,2017,IN,16746,0.319957,0.5507584,0.1292846,0.06237363,0.02580685,0.02123208,0.003507908,0.000800049,0.000492338,0.01403163,0.01045026,0.6925703,0.3843165,0.06759823,0.3686253,0.1335244,0.430252,1,0.02633465,0.1144751,0.006688165,0,0,0.3324077,0.1520334,0.04442852,0.000119432,163,92,0.8588957,0.05434782,0.378796,0.3546177,0.7270021,0.4748815,0.1945289,0.9080459,0.7166666,0.8376288,0.7615198,926.6514
"WABASH VALLEY HEALTH CENTER, INC.",TERRE HAUTE,Indiana,Vigo,2017,IN,4443,0.0880036,0.8350214,0.07697502,0.1518605,0.03513146,0.09336493,0.008293839,0.008530806,0.000236967,0.009478673,0.01823092,0.9447579,0.6691417,0.3887013,0.4024308,0.0947558,0.1141121,0.7546703,0.3851002,0.07247356,0,0,0,0.3536836,0.1699081,0.05934983,0.000894721,13,7,0.9230769,0.1428571,0.356564,0.5077519,0.9233831,0.2695492,0.1428571,1,0.7857143,0.7297297,0.5376045,678.5836
"WAYNE, COUNTY OF",RICHMOND,Indiana,Wayne,2017,IN,5228,0.3879113,0.5342387,0.07785004,0.2138873,0.06159143,0.1396422,0.007886132,0.001923447,0.002500481,0,0.05738332,0.9200459,0.389824,0.191469,0.5197016,0.1218439,0.1669855,1,0.017215,0.01530222,0,0,0,0.3897985,0.1944355,0.06140015,0.001147666,90,70,0.7444444,0.1,0.4486094,0.9815051,0.9909347,0.1406003,0.9657143,0.9550562,0.9130435,0.9275362,0.9248788,622.6092
"WAYNE, COUNTY OF",RICHMOND,Indiana,Wayne,2017,IN,5228,0.3879113,0.5342387,0.07785004,0.2138873,0.06159143,0.1396422,0.007886132,0.001923447,0.002500481,0,0.05738332,0.9200459,0.389824,0.191469,0.5197016,0.1218439,0.1669855,1,0.017215,0.01530222,0,0,0,0.3897985,0.1944355,0.06140015,0.001147666,90,70,0.7444444,0.1,0.4486094,0.9815051,0.9909347,0.1406003,0.9657143,0.9550562,0.9130435,0.9275362,0.9248788,1073.2
"WAYNE, COUNTY OF",RICHMOND,Indiana,Wayne,2017,IN,5228,0.3879113,0.5342387,0.07785004,0.2138873,0.06159143,0.1396422,0.007886132,0.001923447,0.002500481,0,0.05738332,0.9200459,0.389824,0.191469,0.5197016,0.1218439,0.1669855,1,0.017215,0.01530222,0,0,0,0.0971406,0.1024665,0.03328051,0.000528262,97,38,0.6804124,0.131579,0.1029641,0,0.2807323,0.00409836,0.425,0.7368421,0.9090909,0.4,0.5,622.6092
"WAYNE, COUNTY OF",RICHMOND,Indiana,Wayne,2017,IN,5228,0.3879113,0.5342387,0.07785004,0.2138873,0.06159143,0.1396422,0.007886132,0.001923447,0.002500481,0,0.05738332,0.9200459,0.389824,0.191469,0.5197016,0.1218439,0.1669855,1,0.017215,0.01530222,0,0,0,0.0971406,0.1024665,0.03328051,0.000528262,97,38,0.6804124,0.131579,0.1029641,0,0.2807323,0.00409836,0.425,0.7368421,0.9090909,0.4,0.5,1073.2
"WAYNE, COUNTY OF",RICHMOND,Indiana,Wayne,2017,IN,5228,0.3879113,0.5342387,0.07785004,0.2138873,0.06159143,0.1396422,0.007886132,0.001923447,0.002500481,0,0.05738332,0.9200459,0.389824,0.191469,0.5197016,0.1218439,0.1669855,0.6454142,0.3133311,0.04841459,0,0.03375383,0,0.3897985,0.1944355,0.06140015,0.001147666,90,70,0.7444444,0.1,0.4486094,0.9815051,0.9909347,0.1406003,0.9657143,0.9550562,0.9130435,0.9275362,0.9248788,622.6092
"WAYNE, COUNTY OF",RICHMOND,Indiana,Wayne,2017,IN,5228,0.3879113,0.5342387,0.07785004,0.2138873,0.06159143,0.1396422,0.007886132,0.001923447,0.002500481,0,0.05738332,0.9200459,0.389824,0.191469,0.5197016,0.1218439,0.1669855,0.6454142,0.3133311,0.04841459,0,0.03375383,0,0.3897985,0.1944355,0.06140015,0.001147666,90,70,0.7444444,0.1,0.4486094,0.9815051,0.9909347,0.1406003,0.9657143,0.9550562,0.9130435,0.9275362,0.9248788,1073.2
"WAYNE, COUNTY OF",RICHMOND,Indiana,Wayne,2017,IN,5228,0.3879113,0.5342387,0.07785004,0.2138873,0.06159143,0.1396422,0.007886132,0.001923447,0.002500481,0,0.05738332,0.9200459,0.389824,0.191469,0.5197016,0.1218439,0.1669855,0.6454142,0.3133311,0.04841459,0,0.03375383,0,0.0971406,0.1024665,0.03328051,0.000528262,97,38,0.6804124,0.131579,0.1029641,0,0.2807323,0.00409836,0.425,0.7368421,0.9090909,0.4,0.5,622.6092
"WAYNE, COUNTY OF",RICHMOND,Indiana,Wayne,2017,IN,5228,0.3879113,0.5342387,0.07785004,0.2138873,0.06159143,0.1396422,0.007886132,0.001923447,0.002500481,0,0.05738332,0.9200459,0.389824,0.191469,0.5197016,0.1218439,0.1669855,0.6454142,0.3133311,0.04841459,0,0.03375383,0,0.0971406,0.1024665,0.03328051,0.000528262,97,38,0.6804124,0.131579,0.1029641,0,0.2807323,0.00409836,0.425,0.7368421,0.9090909,0.4,0.5,1073.2
"WAYNE, COUNTY OF",RICHMOND,Indiana,Wayne,2017,IN,5228,0.3879113,0.5342387,0.07785004,0.2138873,0.06159143,0.1396422,0.007886132,0.001923447,0.002500481,0,0.05738332,0.954779,0.705036,0.3876577,0.4299352,0.01841118,0.1639959,1,0.017215,0.01530222,0,0,0,0.3897985,0.1944355,0.06140015,0.001147666,90,70,0.7444444,0.1,0.4486094,0.9815051,0.9909347,0.1406003,0.9657143,0.9550562,0.9130435,0.9275362,0.9248788,622.6092
"WAYNE, COUNTY OF",RICHMOND,Indiana,Wayne,2017,IN,5228,0.3879113,0.5342387,0.07785004,0.2138873,0.06159143,0.1396422,0.007886132,0.001923447,0.002500481,0,0.05738332,0.954779,0.705036,0.3876577,0.4299352,0.01841118,0.1639959,1,0.017215,0.01530222,0,0,0,0.3897985,0.1944355,0.06140015,0.001147666,90,70,0.7444444,0.1,0.4486094,0.9815051,0.9909347,0.1406003,0.9657143,0.9550562,0.9130435,0.9275362,0.9248788,1073.2
"WAYNE, COUNTY OF",RICHMOND,Indiana,Wayne,2017,IN,5228,0.3879113,0.5342387,0.07785004,0.2138873,0.06159143,0.1396422,0.007886132,0.001923447,0.002500481,0,0.05738332,0.954779,0.705036,0.3876577,0.4299352,0.01841118,0.1639959,1,0.017215,0.01530222,0,0,0,0.0971406,0.1024665,0.03328051,0.000528262,97,38,0.6804124,0.131579,0.1029641,0,0.2807323,0.00409836,0.425,0.7368421,0.9090909,0.4,0.5,622.6092
"WAYNE, COUNTY OF",RICHMOND,Indiana,Wayne,2017,IN,5228,0.3879113,0.5342387,0.07785004,0.2138873,0.06159143,0.1396422,0.007886132,0.001923447,0.002500481,0,0.05738332,0.954779,0.705036,0.3876577,0.4299352,0.01841118,0.1639959,1,0.017215,0.01530222,0,0,0,0.0971406,0.1024665,0.03328051,0.000528262,97,38,0.6804124,0.131579,0.1029641,0,0.2807323,0.00409836,0.425,0.7368421,0.9090909,0.4,0.5,1073.2
"WAYNE, COUNTY OF",RICHMOND,Indiana,Wayne,2017,IN,5228,0.3879113,0.5342387,0.07785004,0.2138873,0.06159143,0.1396422,0.007886132,0.001923447,0.002500481,0,0.05738332,0.954779,0.705036,0.3876577,0.4299352,0.01841118,0.1639959,0.6454142,0.3133311,0.04841459,0,0.03375383,0,0.3897985,0.1944355,0.06140015,0.001147666,90,70,0.7444444,0.1,0.4486094,0.9815051,0.9909347,0.1406003,0.9657143,0.9550562,0.9130435,0.9275362,0.9248788,622.6092
"WAYNE, COUNTY OF",RICHMOND,Indiana,Wayne,2017,IN,5228,0.3879113,0.5342387,0.07785004,0.2138873,0.06159143,0.1396422,0.007886132,0.001923447,0.002500481,0,0.05738332,0.954779,0.705036,0.3876577,0.4299352,0.01841118,0.1639959,0.6454142,0.3133311,0.04841459,0,0.03375383,0,0.3897985,0.1944355,0.06140015,0.001147666,90,70,0.7444444,0.1,0.4486094,0.9815051,0.9909347,0.1406003,0.9657143,0.9550562,0.9130435,0.9275362,0.9248788,1073.2
"WAYNE, COUNTY OF",RICHMOND,Indiana,Wayne,2017,IN,5228,0.3879113,0.5342387,0.07785004,0.2138873,0.06159143,0.1396422,0.007886132,0.001923447,0.002500481,0,0.05738332,0.954779,0.705036,0.3876577,0.4299352,0.01841118,0.1639959,0.6454142,0.3133311,0.04841459,0,0.03375383,0,0.0971406,0.1024665,0.03328051,0.000528262,97,38,0.6804124,0.131579,0.1029641,0,0.2807323,0.00409836,0.425,0.7368421,0.9090909,0.4,0.5,622.6092
"WAYNE, COUNTY OF",RICHMOND,Indiana,Wayne,2017,IN,5228,0.3879113,0.5342387,0.07785004,0.2138873,0.06159143,0.1396422,0.007886132,0.001923447,0.002500481,0,0.05738332,0.954779,0.705036,0.3876577,0.4299352,0.01841118,0.1639959,0.6454142,0.3133311,0.04841459,0,0.03375383,0,0.0971406,0.1024665,0.03328051,0.000528262,97,38,0.6804124,0.131579,0.1029641,0,0.2807323,0.00409836,0.425,0.7368421,0.9090909,0.4,0.5,1073.2
"WAYNE, COUNTY OF",DETROIT,Michigan,Wayne,2017,MI,2933,0.3450392,0.6130242,0.04193658,0.6130526,0.02161588,0.406867,0.1798283,0.002575107,0.000858369,0.01416309,0.3675418,0.9200459,0.389824,0.191469,0.5197016,0.1218439,0.1669855,1,0.017215,0.01530222,0,0,0,0.3897985,0.1944355,0.06140015,0.001147666,90,70,0.7444444,0.1,0.4486094,0.9815051,0.9909347,0.1406003,0.9657143,0.9550562,0.9130435,0.9275362,0.9248788,622.6092
"WAYNE, COUNTY OF",DETROIT,Michigan,Wayne,2017,MI,2933,0.3450392,0.6130242,0.04193658,0.6130526,0.02161588,0.406867,0.1798283,0.002575107,0.000858369,0.01416309,0.3675418,0.9200459,0.389824,0.191469,0.5197016,0.1218439,0.1669855,1,0.017215,0.01530222,0,0,0,0.3897985,0.1944355,0.06140015,0.001147666,90,70,0.7444444,0.1,0.4486094,0.9815051,0.9909347,0.1406003,0.9657143,0.9550562,0.9130435,0.9275362,0.9248788,1073.2
"WAYNE, COUNTY OF",DETROIT,Michigan,Wayne,2017,MI,2933,0.3450392,0.6130242,0.04193658,0.6130526,0.02161588,0.406867,0.1798283,0.002575107,0.000858369,0.01416309,0.3675418,0.9200459,0.389824,0.191469,0.5197016,0.1218439,0.1669855,1,0.017215,0.01530222,0,0,0,0.0971406,0.1024665,0.03328051,0.000528262,97,38,0.6804124,0.131579,0.1029641,0,0.2807323,0.00409836,0.425,0.7368421,0.9090909,0.4,0.5,622.6092
"WAYNE, COUNTY OF",DETROIT,Michigan,Wayne,2017,MI,2933,0.3450392,0.6130242,0.04193658,0.6130526,0.02161588,0.406867,0.1798283,0.002575107,0.000858369,0.01416309,0.3675418,0.9200459,0.389824,0.191469,0.5197016,0.1218439,0.1669855,1,0.017215,0.01530222,0,0,0,0.0971406,0.1024665,0.03328051,0.000528262,97,38,0.6804124,0.131579,0.1029641,0,0.2807323,0.00409836,0.425,0.7368421,0.9090909,0.4,0.5,1073.2
"WAYNE, COUNTY OF",DETROIT,Michigan,Wayne,2017,MI,2933,0.3450392,0.6130242,0.04193658,0.6130526,0.02161588,0.406867,0.1798283,0.002575107,0.000858369,0.01416309,0.3675418,0.9200459,0.389824,0.191469,0.5197016,0.1218439,0.1669855,0.6454142,0.3133311,0.04841459,0,0.03375383,0,0.3897985,0.1944355,0.06140015,0.001147666,90,70,0.7444444,0.1,0.4486094,0.9815051,0.9909347,0.1406003,0.9657143,0.9550562,0.9130435,0.9275362,0.9248788,622.6092
"WAYNE, COUNTY OF",DETROIT,Michigan,Wayne,2017,MI,2933,0.3450392,0.6130242,0.04193658,0.6130526,0.02161588,0.406867,0.1798283,0.002575107,0.000858369,0.01416309,0.3675418,0.9200459,0.389824,0.191469,0.5197016,0.1218439,0.1669855,0.6454142,0.3133311,0.04841459,0,0.03375383,0,0.3897985,0.1944355,0.06140015,0.001147666,90,70,0.7444444,0.1,0.4486094,0.9815051,0.9909347,0.1406003,0.9657143,0.9550562,0.9130435,0.9275362,0.9248788,1073.2
"WAYNE, COUNTY OF",DETROIT,Michigan,Wayne,2017,MI,2933,0.3450392,0.6130242,0.04193658,0.6130526,0.02161588,0.406867,0.1798283,0.002575107,0.000858369,0.01416309,0.3675418,0.9200459,0.389824,0.191469,0.5197016,0.1218439,0.1669855,0.6454142,0.3133311,0.04841459,0,0.03375383,0,0.0971406,0.1024665,0.03328051,0.000528262,97,38,0.6804124,0.131579,0.1029641,0,0.2807323,0.00409836,0.425,0.7368421,0.9090909,0.4,0.5,622.6092
"WAYNE, COUNTY OF",DETROIT,Michigan,Wayne,2017,MI,2933,0.3450392,0.6130242,0.04193658,0.6130526,0.02161588,0.406867,0.1798283,0.002575107,0.000858369,0.01416309,0.3675418,0.9200459,0.389824,0.191469,0.5197016,0.1218439,0.1669855,0.6454142,0.3133311,0.04841459,0,0.03375383,0,0.0971406,0.1024665,0.03328051,0.000528262,97,38,0.6804124,0.131579,0.1029641,0,0.2807323,0.00409836,0.425,0.7368421,0.9090909,0.4,0.5,1073.2
"WAYNE, COUNTY OF",DETROIT,Michigan,Wayne,2017,MI,2933,0.3450392,0.6130242,0.04193658,0.6130526,0.02161588,0.406867,0.1798283,0.002575107,0.000858369,0.01416309,0.3675418,0.954779,0.705036,0.3876577,0.4299352,0.01841118,0.1639959,1,0.017215,0.01530222,0,0,0,0.3897985,0.1944355,0.06140015,0.001147666,90,70,0.7444444,0.1,0.4486094,0.9815051,0.9909347,0.1406003,0.9657143,0.9550562,0.9130435,0.9275362,0.9248788,622.6092
"WAYNE, COUNTY OF",DETROIT,Michigan,Wayne,2017,MI,2933,0.3450392,0.6130242,0.04193658,0.6130526,0.02161588,0.406867,0.1798283,0.002575107,0.000858369,0.01416309,0.3675418,0.954779,0.705036,0.3876577,0.4299352,0.01841118,0.1639959,1,0.017215,0.01530222,0,0,0,0.3897985,0.1944355,0.06140015,0.001147666,90,70,0.7444444,0.1,0.4486094,0.9815051,0.9909347,0.1406003,0.9657143,0.9550562,0.9130435,0.9275362,0.9248788,1073.2
"WAYNE, COUNTY OF",DETROIT,Michigan,Wayne,2017,MI,2933,0.3450392,0.6130242,0.04193658,0.6130526,0.02161588,0.406867,0.1798283,0.002575107,0.000858369,0.01416309,0.3675418,0.954779,0.705036,0.3876577,0.4299352,0.01841118,0.1639959,1,0.017215,0.01530222,0,0,0,0.0971406,0.1024665,0.03328051,0.000528262,97,38,0.6804124,0.131579,0.1029641,0,0.2807323,0.00409836,0.425,0.7368421,0.9090909,0.4,0.5,622.6092
"WAYNE, COUNTY OF",DETROIT,Michigan,Wayne,2017,MI,2933,0.3450392,0.6130242,0.04193658,0.6130526,0.02161588,0.406867,0.1798283,0.002575107,0.000858369,0.01416309,0.3675418,0.954779,0.705036,0.3876577,0.4299352,0.01841118,0.1639959,1,0.017215,0.01530222,0,0,0,0.0971406,0.1024665,0.03328051,0.000528262,97,38,0.6804124,0.131579,0.1029641,0,0.2807323,0.00409836,0.425,0.7368421,0.9090909,0.4,0.5,1073.2
"WAYNE, COUNTY OF",DETROIT,Michigan,Wayne,2017,MI,2933,0.3450392,0.6130242,0.04193658,0.6130526,0.02161588,0.406867,0.1798283,0.002575107,0.000858369,0.01416309,0.3675418,0.954779,0.705036,0.3876577,0.4299352,0.01841118,0.1639959,0.6454142,0.3133311,0.04841459,0,0.03375383,0,0.3897985,0.1944355,0.06140015,0.001147666,90,70,0.7444444,0.1,0.4486094,0.9815051,0.9909347,0.1406003,0.9657143,0.9550562,0.9130435,0.9275362,0.9248788,622.6092
"WAYNE, COUNTY OF",DETROIT,Michigan,Wayne,2017,MI,2933,0.3450392,0.6130242,0.04193658,0.6130526,0.02161588,0.406867,0.1798283,0.002575107,0.000858369,0.01416309,0.3675418,0.954779,0.705036,0.3876577,0.4299352,0.01841118,0.1639959,0.6454142,0.3133311,0.04841459,0,0.03375383,0,0.3897985,0.1944355,0.06140015,0.001147666,90,70,0.7444444,0.1,0.4486094,0.9815051,0.9909347,0.1406003,0.9657143,0.9550562,0.9130435,0.9275362,0.9248788,1073.2
"WAYNE, COUNTY OF",DETROIT,Michigan,Wayne,2017,MI,2933,0.3450392,0.6130242,0.04193658,0.6130526,0.02161588,0.406867,0.1798283,0.002575107,0.000858369,0.01416309,0.3675418,0.954779,0.705036,0.3876577,0.4299352,0.01841118,0.1639959,0.6454142,0.3133311,0.04841459,0,0.03375383,0,0.0971406,0.1024665,0.03328051,0.000528262,97,38,0.6804124,0.131579,0.1029641,0,0.2807323,0.00409836,0.425,0.7368421,0.9090909,0.4,0.5,622.6092
"WAYNE, COUNTY OF",DETROIT,Michigan,Wayne,2017,MI,2933,0.3450392,0.6130242,0.04193658,0.6130526,0.02161588,0.406867,0.1798283,0.002575107,0.000858369,0.01416309,0.3675418,0.954779,0.705036,0.3876577,0.4299352,0.01841118,0.1639959,0.6454142,0.3133311,0.04841459,0,0.03375383,0,0.0971406,0.1024665,0.03328051,0.000528262,97,38,0.6804124,0.131579,0.1029641,0,0.2807323,0.00409836,0.425,0.7368421,0.9090909,0.4,0.5,1073.2
"WINDROSE HEALTH NETWORK, INC.",TRAFALGAR,Indiana,Johnson,2017,IN,19478,0.4386487,0.5097033,0.05164801,0.4609561,0.1040504,0.02829316,0.3307035,0.001523478,0.000598509,0.008052669,0.3545025,0.9939505,0.6942881,0.09605709,0.5577061,0.0719273,0.2743095,1,0,0.06253209,0,0,0,0.3006067,0.1579342,0.04220146,0.0007701,484,212,0.6363636,0.03773585,0.5560964,0.754491,0.3224326,0.5301639,0.414,0.8621554,0.8661417,0.8945687,0.6865444,766.347
ATCHISON COMMUNITY HEALTH CLINIC,ATCHISON,Kansas,Atchison,2017,KS,1505,0.2491694,0.7089701,0.04186046,0.1649763,0.03268846,0.08922444,0.003431709,0.008236102,0.000686342,0.03637611,0.002657807,0.8607504,0.5194805,0.4093023,0.2737541,0.1156146,0.2013289,0.6491694,0.2524917,0.3016611,0,0.009302326,0.1089701,0.3078124,0.1764063,0.05629478,0.001023541,2,0,0.5,0,0.4168937,0.04878049,0.5118012,0.2363636,0.2,1,0.8666667,0.8823529,0.6177778,798.8253
CENTER FOR HEALTH AND WELLNESS,WICHITA,Kansas,Sedgwick,2017,KS,5548,0.2188176,0.7271089,0.05407354,0.6637217,0.1884482,0.3942272,0.006517691,0.00707635,0.03258846,0.05307262,0.2395458,0.9805747,0.8864832,0.4315068,0.3574261,0.09228551,0.1187815,0.9390771,0,0.2128695,0.03424658,0,0,0.214158,0.1259396,0.04817658,0.000191939,228,167,0.627193,0.1137725,0.3355844,0.7804014,0.4584222,0.1012085,0.1212121,0.495,0.7714286,0.7297297,0.5293441,1050.365
"COMMUNITY HEALTH CENTER IN COWLEY COUNTY, INC",WINFIELD,Kansas,Cowley,2017,KS,2742,0.1827133,0.6714078,0.1458789,0.2162061,0.09446494,0.04306809,0.002871206,0.01599672,0.0561936,0.01722724,0.03865791,0.9559364,0.6389229,0.2469001,0.1911014,0.1914661,0.3705325,1,0.02917578,0.04595186,0,0,0,0.2402005,0.1374339,0.02334063,0,7,3,0.2857143,0,0.1952818,0.1561713,0.1700091,0.2855407,0.1764706,0.3709677,0.5154639,0.7573529,0.5635673,650.0959
COMMUNITY HEALTH CENTER OF SOUTHEAST KANSAS INC,PITTSBURG,Kansas,Crawford,2017,KS,41694,0.3799348,0.5432916,0.07677364,0.202847,0.09273159,0.04055354,0.004835435,0.01950203,0.005556743,0.06067001,0.05094258,0.9795795,0.7670308,0.3775603,0.274428,0.1065621,0.2414496,0.7178011,0.439032,0.09694441,0.006931453,0.02091428,0.02914088,0.3014576,0.1604182,0.04410585,0.000701684,293,117,0.8293515,0.03389831,0.5428572,0.4968671,0.5,0.2714286,0.1706827,0.9730337,0.9285714,0.8857143,0.6542987,694.3762
"FIRST CARE CLINIC, INC",HAYS,Kansas,Ellis,2017,KS,5757,0.3611256,0.5627931,0.07608129,0.1492938,0.106488,0.02529075,0.006091933,0.005538121,0,0.009968617,0.007990273,0.9705032,0.6859456,0.3496613,0.2482196,0.07521278,0.3269064,0.6428695,0.4648254,0.0328296,0,0,0,0.1876766,0.09699889,0.03674683,0,7,3,1,0,0.5060484,0.5916955,0.5467997,0.3807107,0.3611111,0.5490196,0.8448276,0.7594936,0.610984,604.7976
"FLINT HILLS COMMUNITY HEALTH CENTER, INC.",EMPORIA,Kansas,Lyon,2017,KS,10019,0.3256812,0.5833915,0.09092724,0.3156879,0.2529276,0.02885408,0.01267519,0.003400659,0.001339654,0.02875103,0.1204711,0.8087335,0.4404843,0.2201817,0.2982334,0.08433975,0.3972452,0.6719233,0.5773031,0.1672822,0,0,0,0.2425105,0.1338001,0.02792632,0.000148544,83,49,0.8674699,0.1020408,0.5431525,0.9544776,0.9129641,0.3512786,0.1219512,0.8735632,0.8507463,0.8613139,0.5624422,895.2462
"GRACEMED HEALTH CLINIC, INC",WICHITA,Kansas,Sedgwick,2017,KS,44234,0.3726319,0.5617399,0.06562825,0.5960543,0.3285579,0.2279999,0.01721693,0.004975991,0.003209514,0.0430672,0.2174346,0.9557177,0.5211422,0.3738301,0.4152914,0.05439255,0.156486,0.6952571,0.4506262,0.003142379,0,0.06176244,0.003526699,0.3318269,0.2763114,0.05501723,0.000292645,240,160,0.8291667,0.1012658,0.6436317,0.8899747,0.7070293,0.4368024,0.805,0.875,0.8412699,0.9722222,0.4790617,455.851
"HEALTH MINISTRIES CLINIC, INC.",NEWTON,Kansas,Harvey,2017,KS,8624,0.2345779,0.546846,0.2185761,0.1875075,0.129182,0.03657921,0.006685167,0.004288597,0.000630676,0.02245207,0.06876159,1,0.6940407,0.1842532,0.2283163,0.2406076,0.3468228,0.8587663,0.1703386,0.1147959,0,0,0.01553803,0.1711068,0.1902338,0.06386714,0.000540103,0,0,0,0,0.428103,0.5438365,0.497368,0.4544738,0.6875,0.8372093,0.825,0.7921053,0.7945355,577.487
"HEALTH PARTNERSHIP CLINIC, INC.",OLATHE,Kansas,Johnson,2017,KS,15404,0.5462217,0.4250844,0.02869385,0.5719705,0.4064644,0.1012277,0.03000933,0.003158877,0.003302462,0.03769115,0.3284212,0.9728218,0.6295763,0.4842249,0.3806804,0.01720332,0.1178915,0.6843028,0.3878863,0.1165282,0.000194755,0,0.03583485,0.2869033,0.2395572,0.0513234,0.000474338,0,0,0,0,0.678035,0.2441705,0.3949363,0.08707265,0.3425197,0.8224299,0.877551,0.7647059,0.5865595,498.0108
