<<<<<<< HEAD
﻿Site Name,Services Delivered at Site,Health Center Type,Health Center Location Type,Health Center Location Setting,County,State
Women's Care,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Escambia County,FL
Heritage Health- Mountain View High School SBHC,Yes,Service Delivery Site,Permanent,School,Kootenai County,ID
Shoshone-Bannock Tribes Tribal Health and Human Services Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bingham County,ID
Mercy Marshall County - 122 East Commerce Street,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Marshall County,TN
Elica Health Centers - Midtown,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Sacramento County,CA
LA CLINICA MONUMENT,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Contra Costa County,CA
"Georgia Department of Community Health, State Office of Rural Health",No,Administrative,Permanent,Unknown,Crisp County,GA
DCHC Mobile Unit,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Kootenai County,ID
Northern Nevada HIV Outpatient Program Education and Services - Admin,No,Administrative,Permanent,Unknown,Washoe County,NV
CSC CHESTERFIELD PERRY CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Chesterfield County,SC
Neighborcare Health Ballard Homeless Clinic at Nyer Urness House,Yes,Service Delivery Site,Permanent,All Other Clinic Types,King County,WA
Edwins Elementary School,Yes,Service Delivery Site,Seasonal,School,Okaloosa County,FL
East Albany Pediatric and Adolescent Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Dougherty County,GA
Thomson Drive Dental,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Lynchburg City,VA
HEALTH CENTER @ MEXICO MIDDLE SCHOOL,Yes,Service Delivery Site,Seasonal,School,Oswego County,NY
East Texas Border Health Clinic dba Genesis PrimeCare Texarkana,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bowie County,TX
Bacliff Community Health Network,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Galveston County,TX
Seeley Lake,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Missoula County,MT
"Clinicas del Camino Real, Inc. El Rio Dental",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Ventura County,CA
Avery Dental Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Avery County,NC
KVHC Penquis Valley Schools,Yes,Service Delivery Site,Permanent,School,Piscataquis County,ME
Lane Eye Associates,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Windsor County,VT
River Valley Medical Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Lafayette County,FL
Houghton Family Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Houghton County,MI
Santa Paula Hospital Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Ventura County,CA
Gallatin County Lower Elemetary,Yes,Service Delivery Site,Seasonal,School,Gallatin County,KY
Great Lakes Bay Health Centers Women's Care Bay City,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bay County,MI
Leatherwood/Blackey Medical Clinic,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Perry County,KY
BVHC Ashland,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Rosebud County,MT
"Healthy Connections, Inc. College of the Ouachitas Clinic",Yes,Service Delivery Site,Permanent,School,Hot Spring County,AR
Teague Street Admin Office,No,Administrative,Permanent,Unknown,Aiken County,SC
FCCH/TRAINING CENTER,No,Administrative,Permanent,All Other Clinic Types,Bernalillo County,NM
FAMILY HEALTH CENTER/MARSHFIELD CLINIC-MINOCQUA CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Oneida County,WI
Horace Mann Middle School,Yes,Service Delivery Site,Seasonal,School,Miami-Dade County,FL
ASU Mid South Community College,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Crittenden County,AR
Genesis Family Health Care Center & Medical Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Ford County,KS
CASTLEMONT HIGH SCHOOL-YOUTH UPRISING,Yes,Service Delivery Site,Permanent,School,Alameda County,CA
INTERCARE CHILD AND ADOLESCENT HEALTH CENTER,Yes,Service Delivery Site,Permanent,School,Berrien County,MI
GCHC Atherton East,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Genesee County,MI
Family Medical Center - Wagar Middle School,Yes,Service Delivery Site,Permanent,School,Monroe County,MI
Kahuku,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Honolulu County,HI
Center for Family Health &amp; Education dba Priority Care Medical Group - El Monte,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA
Jefferson Elementary School SBHC,Yes,Service Delivery Site,Permanent,School,Hartford County,CT
ARcare-100,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Izard County,AR
GOLDEN HOUSE - Family Violence Center,Yes,Service Delivery Site,Permanent,Domestic Violence,Brown County,WI
Katahdin Valley Health Center Houlton,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Aroostook County,ME
Dennis' Pharmacy,No,Administrative,Permanent,All Other Clinic Types,Lincoln County,WV
HealthLinc - Valparaiso,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Porter County,IN
NorthLakes - Lakewood,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Oconto County,WI
HealthFirst Bluegrass Goodwin,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Fayette County,KY
SBHC - Escatawpa,Yes,Service Delivery Site,Seasonal,School,Jackson County,MS
Wesley Health Centers (Bellflower),Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA
Los Angeles LGBT Center - Weho,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA
Cornerstone Rescue Mission - Men's Shelter,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Pennington County,SD
LIFE HAVEN SHELTER HOMLESS OUT,Yes,Service Delivery Site,Permanent,All Other Clinic Types,New Haven County,CT
BURNCOAT SCHOOL BASED  HEALTH CENTER,Yes,Service Delivery Site,Seasonal,School,Worcester County,MA
Georgetown School-Based Clinic,Yes,Service Delivery Site,Seasonal,School,Grant Parish,LA
Alliance Family Health Center - Mastroianni Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Stark County,OH
PULASKI CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Pulaski County,IL
The Morgan School SBHC,Yes,Service Delivery Site,Permanent,School,Middlesex County,CT
"NORTHEAST ALABAMA HEALTH SERVICES, INC. - SKYLINE",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Jackson County,AL
HENRIETTA JOHNSON MEDICAL CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,New Castle County,DE
Bluestem Health: Thompson Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Lancaster County,NE
Valley Health,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Orange County,IN
De Smet Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kingsbury County,SD
Los Angeles Christian Health Centers at Gateways Percy Village,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA
Axis Community Health - Hacienda,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Alameda County,CA
CareConnect Pediatrics,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Colquitt County,GA
West Cecil Health Center,Yes,Service Delivery Site,Seasonal,All Other Clinic Types,Cecil County,MD
Program for All-Inclusive Care for the Elderly (PACE) Site,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Essex County,MA
Chestnut Family Health Center,No,Administrative,Permanent,All Other Clinic Types,McLean County,IL
SCENIC RIVERS HEALTH SERVICES,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Koochiching County,MN
Mariposa Community Health Center Inc. - Administration Site,No,Administrative,Permanent,Unknown,Santa Cruz County,AZ
DAVIS COMMUNITY CLINIC,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Yolo County,CA
JWCH Institute -Center for Community Health,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA
HARVARD STREET NEIGHBORHOOD HEALTH CENTER INC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Suffolk County,MA
Omni Family Health,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Tulare County,CA
"Mendocino Coast Clinics, Inc.",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Mendocino County,CA
NEIGHBORHOOD HEALTHCARE ~ ESCONDIDO,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Diego County,CA
Oakhurst Rockdale,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Rockdale County,GA
Equitas Health Clintonville,No,Administrative,Permanent,All Other Clinic Types,Franklin County,OH
Mountain Park Health Center - Baseline,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Maricopa County,AZ
PATHS Community Medical Center- Martinsville,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Martinsville City,VA
NorthLakes - Washburn,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bayfield County,WI
"Athens Neighborhood Health Center, Inc. East",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Clarke County,GA
HOMELESS MOBILE VAN,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Westchester County,NY
Compass Community Health,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Scioto County,OH
Franklin Elementary School,Yes,Service Delivery Site,Permanent,School,Onondaga County,NY
CommUnityCare North Lamar Pediatrics,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Travis County,TX
ADMINISTRATION,No,Administrative,Permanent,Unknown,Honolulu County,HI
Peach Tree North Sacramento,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Sacramento County,CA
Martinez Health Center-Specialty 2B,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Contra Costa County,CA
WEST MILFORD COMMUNITY HLTH CTR,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Harrison County,WV
CHURCHES UNITED FOR THE HOMELESS,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Clay County,MN
Billi Odegaard Dental Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Multnomah County,OR
San Antonio High School Health Clinic,Yes,Service Delivery Site,Permanent,School,Sonoma County,CA
RRHC Administrative Services,No,Administrative,Permanent,Unknown,Humboldt County,CA
Henry J. Austin Health Center-Bellevue,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Mercer County,NJ
Sunnyside Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cook County,IL
Graceland University,Yes,Service Delivery Site,Seasonal,All Other Clinic Types,Decatur County,IA
Naylor Medical Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Ripley County,MO
River Valley Family Health Center of Montrose,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Montrose County,CO
Venice Family Clinic - Bill's Clinic at Safe Place for Youth,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA
IHC PHC at YWCA South Bend,Yes,Service Delivery Site,Permanent,All Other Clinic Types,St. Joseph County,IN
Mountain Family Health Centers Riverside Administration,No,Administrative,Permanent,All Other Clinic Types,Garfield County,CO
STRHS Uvalde Behavioral Health Site,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Uvalde County,TX
Farmington High Empowerment Zone,Yes,Service Delivery Site,Permanent,School,Oakland County,MI
PanCare Mobile Medical/Dental Unit,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Walton County,FL
LifeLong Brookside Community Health Center Richmond,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Contra Costa County,CA
Rochelle Middle School,Yes,Service Delivery Site,Permanent,School,Lenoir County,NC
Silver Creek Health Center,Yes,Service Delivery Site,Permanent,School,Santa Clara County,CA
DESERT SAGE HEALTH CENTERS,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Elmore County,ID
LONG VALLEY HEALTH CENTER - DENTAL,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Mendocino County,CA
HomePlace Clinic - Cynthiana,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Harrison County,KY
HealthPoint Nicholasville,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Jessamine County,KY
Bethel Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Windsor County,VT
"Diversity Health Center, Inc.-Stewart Way Office",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Liberty County,GA
Mercy Medical Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Jackson Parish,LA
Hemet High School,Yes,Service Delivery Site,Permanent,School,Riverside County,CA
Sylvania Heights Elementary School,Yes,Service Delivery Site,Seasonal,School,Miami-Dade County,FL
Neighborhood Medical Center Smith Williams Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Leon County,FL
CENTRAL COUNTY MENTAL HEALTH CTR,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Mateo County,CA
Delhi Community Health Center,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Richland Parish,LA
"Crider Health Center, Troy",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Lincoln County,MO
Randall Square Health Center   Suite 205,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Providence County,RI
Sea Mar CHC - Tumwater Capitol Blvd SE,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Thurston County,WA
TFHC # 40 - Harbourside at Tampa General,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Hillsborough County,FL
Four Corners Primary Care Centers,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Gwinnett County,GA
"Center for Family Health & Education, Inc.",Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA
COMMUNITY MEDICAL CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Orangeburg County,SC
Swope Health Independence,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Jackson County,MO
PanCare Health- Gulf County,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Gulf County,FL
Lenox Family Medicine,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cook County,GA
BRONX HEALTH CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bronx County,NY
True North Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cherokee County,TX
Alcona Health Center  Administrative Annex,No,Administrative,Permanent,All Other Clinic Types,Alpena County,MI
CHEYENNE HEALTH AND WELLNESS CENTER,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Laramie County,WY
THE MEADOWS,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Penobscot County,ME
Southside Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kent County,MI
MAIN STREET PHYSICIANS,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Suffolk City,VA
E.B. Frink Middle School,Yes,Service Delivery Site,Permanent,School,Lenoir County,NC
North Baldwin Rural HIV Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Baldwin County,AL
HELEN HUNT HEALTH CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Penobscot County,ME
Sikeston High School Clinic,Yes,Service Delivery Site,Seasonal,School,Scott County,MO
Midtown Health Center - O&#39;Neill,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Holt County,NE
Community Health and Wellness Center of Greater Torrington,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Litchfield County,CT
Hudson River HealthCare - Nyack,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Rockland County,NY
Altura Centers for Health Administration,No,Administrative,Permanent,All Other Clinic Types,Tulare County,CA
Samahan Health Centers: Admin Office,No,Administrative,Permanent,All Other Clinic Types,San Diego County,CA
EAST MACHIAS,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Washington County,ME
Tandem Health,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Sumter County,SC
North Aurora Family Health Services Center,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Adams County,CO
HealthLinc La Porte,Yes,Service Delivery Site,Permanent,All Other Clinic Types,La Porte County,IN
APPLE VALLEY SCHOOL HLTH CTR,Yes,Service Delivery Site,Seasonal,School,Henderson County,NC
Kintegra at Oakwood Elementary,Yes,Service Delivery Site,Permanent,School,Catawba County,NC
FamilyHealth - Homeless Navigation Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Diego County,CA
HURON STREET WOMEN'S CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Lucas County,OH
Pediatric Associates,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Wichita County,TX
South Broad Community Health,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Orleans Parish,LA
LCHC @ Lincoln-Erdman Elementary,Yes,Service Delivery Site,Seasonal,School,Sheboygan County,WI
Tomcat Health Center,Yes,Service Delivery Site,Permanent,School,Kane County,IL
Dental Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Penobscot County,ME
Waucoma Administrative Site,No,Administrative,Permanent,Unknown,Hood River County,OR
Capstone Rural Health Center- Jasper Cottage,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Walker County,AL
COLUMBUS HOUSE SHELTER CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,New Haven County,CT
LSCHC Superior Behavioral Health/AODA,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Douglas County,WI
CHARLES DREW COMMUNITY HEALTH CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Alamance County,NC
2001 STATE STREET CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,St. Clair County,IL
CORPORACION DE SERVICIOS MEDICOS PRIMARIOS Y PREVENCION DE HATILLO,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Hatillo Municipio,PR
JOHN F. KENNEDY MAGNET SCHOOL,Yes,Service Delivery Site,Permanent,School,Westchester County,NY
CANYON DENTAL,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Canyon County,ID
LINWOOD ELEMENTARY SCHOOL,Yes,Service Delivery Site,Seasonal,School,Yazoo County,MS
Indian Health Center of Santa Clara Valley - Family Medicine Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Santa Clara County,CA
VCC: Lake Elsinore,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Riverside County,CA
Laura C. Saunders Elementary School,Yes,Service Delivery Site,Seasonal,School,Miami-Dade County,FL
"Stigler, Haskell County",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Haskell County,OK
CSVS - SANBORN CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Monterey County,CA
Erlanger Medical Center,No,Administrative,Permanent,Unknown,Hamilton County,TN
"St. Luke&#39;s Health Care Clinic, Suite A",Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Dona Ana County,NM
Watervliet Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Albany County,NY
Montgomery Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Montgomery County,NC
Meridian Health Services Corp,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Fayette County,IN
Hurley Family Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Buchanan County,VA
FAMILY HEALTH CENTER-CHIPPEWA FALLS DENTAL CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Chippewa County,WI
Muskingum Valley Health Centers,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Coshocton County,OH
Wellness Pointe - Mobberly Ave,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Gregg County,TX
"BEAR LAKE COMMUNITY HEALTH CENTER, INC.",Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Rich County,UT
Midtown South Salt Lake Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Salt Lake County,UT
GVHC - Modesto Womens and Florida,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Stanislaus County,CA
"Signature Health, Inc. Willoughby Clinic",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Lake County,OH
SBHC North High School,Yes,Service Delivery Site,Seasonal,School,Summit County,OH
MOUNTAIN FAMILY HEALTH CENTERS AVON SCHOOL-BASED HEALTH CENTER,Yes,Service Delivery Site,Permanent,School,Eagle County,CO
MHHC at 779 Melrose Avenue,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bronx County,NY
VIENNA MEDICAL CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Johnson County,IL
Live Well Primary Care Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Durham County,NC
Southwest Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Marion County,IN
Community Care of Marlinton,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Pocahontas County,WV
Coastal Health & Wellness - Galveston,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Galveston County,TX
Columbia Road Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,District of Columbia,DC
Mission CIty Community Network - Prairie,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA
Ferriday Family Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Concordia Parish,LA
Santa Clara Valley Health and Hospital System,No,Administrative,Permanent,Unknown,Santa Clara County,CA
Admin - Jefferson,No,Administrative,Permanent,Unknown,Ellis County,TX
Buckhannon-Upshur Middle School Wellness Center,Yes,Service Delivery Site,Permanent,School,Upshur County,WV
HAMPTON MEDICAL CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Hampton County,SC
Blue Ridge Health - Rainbow Pediatrics,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Henderson County,NC
LifeLong Richmond,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Contra Costa County,CA
Mercy office at New Hope Academy,Yes,Service Delivery Site,Permanent,School,Williamson County,TN
Mariners Harbor Family Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Richmond County,NY
MHC Mobile Health Unit,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Addison County,VT
Neomed Center- Aguas Buenas Pueblo,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Aguas Buenas Municipio,PR
Whatley Health Services at Carrollton,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Pickens County,AL
REDWOOD COAST MEDICAL SERVICES,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Mendocino County,CA
Madera South High School: School-Based Health Center (SBHC),Yes,Service Delivery Site,Permanent,School,Madera County,CA
Esperanza Health Center K&amp;A,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Philadelphia County,PA
Central Fresno Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Fresno County,CA
YourTown Health Dental,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Meriwether County,GA
Settlement Health - Administrative site,No,Administrative,Permanent,Unknown,New York County,NY
United Technical Center Wellness Center,Yes,Service Delivery Site,Permanent,School,Harrison County,WV
CareConnect Family Practice and Pediatrics,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Wilcox County,GA
Petal Elementary School,Yes,Service Delivery Site,Seasonal,School,Forrest County,MS
Mission City Community Network - Monrovia,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA
Teche Action Clinic @ Galliano,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Lafourche Parish,LA
Comprehensive Family Care Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bronx County,NY
SUNRISE NORTH RANGE CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Weld County,CO
ALPINE FAMILY MEDICINE,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Diego County,CA
Alma High School,Yes,Service Delivery Site,Seasonal,School,Gratiot County,MI
HCHC San Diego,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Diego County,CA
SJWCFC at Dominguez High School,Yes,Service Delivery Site,Permanent,School,Los Angeles County,CA
Community Healthcare Center - Phyllis Hiraki Dental Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Wichita County,TX
Avoyelles Primary Health and Wellness Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Avoyelles Parish,LA
SANOS Mobil Unit,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Caguas Municipio,PR
Swanton Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Franklin County,VT
IMAN – Administrative Offices,No,Administrative,Permanent,All Other Clinic Types,Cook County,IL
SBHC/Cherokee Comprehensive High School,Yes,Service Delivery Site,Seasonal,School,Hawkins County,TN
Ney Elementary Community Health Network,Yes,Service Delivery Site,Permanent,School,Brazoria County,TX
T.H.E. Clinic at Hawthorne,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA
Springfield Gardens Educational Campus,Yes,Service Delivery Site,Permanent,School,Queens County,NY
BIRCH CREEK VILLAGE CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Yukon-Koyukuk Census Area,AK
GraceMed COMCARE Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Sedgwick County,KS
Bluestone Health Association Inc. _Bluestone Health Center,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Mercer County,WV
New Path Community Housing,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Ada County,ID
MEHOP Clinic Adminstration,No,Administrative,Permanent,All Other Clinic Types,Matagorda County,TX
MANET CHC AT SNUG HARBOR,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Norfolk County,MA
"GMHC, INC. / MPSD Meridian High School Community School Based Clinic",Yes,Service Delivery Site,Permanent,School,Lauderdale County,MS
Centennial High School SBWC,Yes,Service Delivery Site,Seasonal,School,Pueblo County,CO
WINFIELD MEDICAL CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Scott County,TN
NCHS Information Technology Administration,No,Administrative,Permanent,Unknown,San Diego County,CA
PMS - QUESTA HEALTH CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Taos County,NM
UNITED HEALTH CENTERS EARLIMART,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Tulare County,CA
School District of Ashland - Ashland Middle School,Yes,Service Delivery Site,Seasonal,School,Ashland County,WI
UNIVERSITY OF ILLINOIS - MILE SQUARE HEALTH CENTER ENGLEWOOD,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cook County,IL
EAST CLEVELAND HEALTH CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cuyahoga County,OH
Community Health Services - Napoleon,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Henry County,OH
AZA HEALTH,No,Administrative,Permanent,Unknown,Putnam County,FL
Share Our Selves Community Health Center,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Orange County,CA
Roosevelt Middle School SBHC,Yes,Service Delivery Site,Permanent,School,Hartford County,CT
Woodside Elementary School,Yes,Service Delivery Site,Seasonal,School,Westchester County,NY
RICHMOND AREA HEALTH CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Sagadahoc County,ME
LCHC at Salvation Army Freedom Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cook County,IL
Affinia Healthcare at Normandy High School,Yes,Service Delivery Site,Permanent,School,St. Louis County,MO
Hueco Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,El Paso County,TX
Northwestern Middle School,Yes,Service Delivery Site,Seasonal,School,Douglas County,WI
G. Holmes Braddock Senior High School,Yes,Service Delivery Site,Seasonal,School,Miami-Dade County,FL
Thirteenth Avenue School,Yes,Service Delivery Site,Permanent,School,Essex County,NJ
SJWCFC East Compton Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA
